NP_009225.1	NP_009225.1	1863	1863	0	0	1	1863	1	1863	0.0	3844	1863	1863
NP_009225.1	NP_001038958.1	1830	1863	33	0	1	1863	1	1863	0.0	3766	1863	1863
NP_009225.1	NP_001108421.1	1734	1864	128	2	1	1863	1	1863	0.0	3504	1863	1863
NP_009225.1	XP_017364815.1	1632	1872	223	11	1	1863	1	1864	0.0	3247	1863	1864
NP_009225.1	XP_045382602.1	1452	1865	380	11	1	1859	1	1838	0.0	2859	1863	1849
NP_009225.1	XP_014595447.2	1427	1865	423	8	1	1859	1	1856	0.0	2824	1863	1856
NP_009225.1	XP_019673492.2	1412	1869	444	12	1	1861	1	1864	0.0	2756	1863	1873
NP_009225.1	XP_037665688.1	1417	1872	432	13	1	1861	1	1860	0.0	2739	1863	1862
NP_009225.1	XP_013845389.1	1389	1869	462	11	1	1861	1	1859	0.0	2722	1863	1865
NP_009225.1	XP_047399506.1	1403	1870	432	17	1	1862	6	1848	0.0	2720	1863	1849
NP_009225.1	XP_023581001.1	1413	1871	430	16	1	1863	1	1851	0.0	2686	1863	1851
NP_009225.1	XP_003414318.3	1384	1871	461	15	1	1863	6	1858	0.0	2671	1863	1858
NP_009225.1	XP_058140293.1	1389	1867	442	17	1	1859	1	1839	0.0	2667	1863	1839
NP_009225.1	NP_001013434.1	1389	1874	467	13	1	1861	1	1869	0.0	2667	1863	1878
NP_009225.1	NP_848668.1	1338	1864	503	18	1	1856	1	1849	0.0	2587	1863	1849
NP_009225.1	XP_014314296.1	1332	1842	469	18	28	1859	46	1856	0.0	2524	1863	1876
NP_009225.1	XP_017204702.2	1295	1864	542	12	1	1859	1	1842	0.0	2515	1863	1853
NP_009225.1	XP_060059410.1	1227	1867	596	18	1	1861	1	1829	0.0	2259	1863	1838
NP_009225.1	XP_075417988.1	1078	1870	709	34	7	1863	3	1802	0.0	1855	1863	1802
NP_009225.1	NP_036646.2	1046	1863	752	30	1	1858	1	1803	0.0	1854	1863	1817
