NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	SMART	SM00292	BRCT_7	1766	1853	5.3E-12	T	14-08-2026	IPR001357	BRCT domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	SMART	SM00292	BRCT_7	1647	1729	1.6E-5	T	14-08-2026	IPR001357	BRCT domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	Pfam	PF12820	Serine-rich domain associated with BRCT	343	505	3.2E-68	T	14-08-2026	IPR025994	BRCA1, serine-rich domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	SMART	SM00184	ring_2	24	64	2.4E-7	T	14-08-2026	IPR001841	Zinc finger, RING-type	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1766	1850	4.5E-8	T	14-08-2026	IPR001357	BRCT domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1663	1726	3.9E-6	T	14-08-2026	IPR001357	BRCT domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	Pfam	PF00097	Zinc finger, C3HC4 type (RING finger)	24	64	1.2E-6	T	14-08-2026	IPR018957	Zinc finger, C3HC4 RING-type	-	-
XP_003414318.3	299dccb58e47f9514e2e2d44a75f540d	1858	Pfam	PF12820	Serine-rich domain associated with BRCT	349	507	3.8E-68	T	14-08-2026	IPR025994	BRCA1, serine-rich domain	-	-
XP_003414318.3	299dccb58e47f9514e2e2d44a75f540d	1858	SMART	SM00292	BRCT_7	1649	1721	1.7E-6	T	14-08-2026	IPR001357	BRCT domain	-	-
XP_003414318.3	299dccb58e47f9514e2e2d44a75f540d	1858	SMART	SM00292	BRCT_7	1753	1840	6.5E-13	T	14-08-2026	IPR001357	BRCT domain	-	-
XP_003414318.3	299dccb58e47f9514e2e2d44a75f540d	1858	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1753	1837	5.0E-7	T	14-08-2026	IPR001357	BRCT domain	-	-
XP_003414318.3	299dccb58e47f9514e2e2d44a75f540d	1858	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1654	1718	1.2E-7	T	14-08-2026	IPR001357	BRCT domain	-	-
XP_003414318.3	299dccb58e47f9514e2e2d44a75f540d	1858	SMART	SM00184	ring_2	29	69	2.4E-7	T	14-08-2026	IPR001841	Zinc finger, RING-type	-	-
XP_003414318.3	299dccb58e47f9514e2e2d44a75f540d	1858	Pfam	PF00097	Zinc finger, C3HC4 type (RING finger)	29	69	1.6E-6	T	14-08-2026	IPR018957	Zinc finger, C3HC4 RING-type	-	-
