NP_009225.1	NP_009225.1	1863	1863	0	0	1	1863	1	1863	0.0	3844	1863	1863
NP_009225.1	NP_001038958.1	1830	1863	33	0	1	1863	1	1863	0.0	3766	1863	1863
NP_009225.1	XP_014595447.2	1427	1865	423	8	1	1859	1	1856	0.0	2824	1863	1856
NP_009225.1	XP_003414318.3	1384	1871	461	15	1	1863	6	1858	0.0	2671	1863	1858
NP_009225.1	XP_058140293.1	1389	1867	442	17	1	1859	1	1839	0.0	2667	1863	1839
NP_009225.1	NP_001013434.1	1389	1874	467	13	1	1861	1	1869	0.0	2667	1863	1878
NP_009225.1	NP_848668.1	1338	1864	503	18	1	1856	1	1849	0.0	2587	1863	1849
NP_009225.1	XP_017204702.2	1295	1864	542	12	1	1859	1	1842	0.0	2515	1863	1853
NP_009225.1	NP_033894.3	1043	1863	752	32	1	1858	1	1800	0.0	1845	1863	1812
NP_009225.1	NP_001029141.1	873	1889	929	38	1	1857	1	1834	0.0	1321	1863	1840
NP_009225.1	XP_023967135.2	755	2010	999	74	1	1857	1	1907	0.0	858	1863	1908
NP_009225.1	XP_019406054.1	140	210	70	0	1648	1857	1635	1844	5.99e-89	314	1863	1845
NP_009225.1	XP_029429046.1	308	937	543	26	1	869	1	919	1.97e-87	309	1863	1920
NP_009225.1	XP_029429046.1	126	221	95	0	1637	1857	1699	1919	1.71e-79	283	1863	1920
NP_009225.1	XP_072775070.1	149	271	111	3	1596	1855	1532	1802	8.30e-86	304	1863	1803
NP_009225.1	XP_072775070.1	294	926	550	29	1	878	1	892	9.75e-84	297	1863	1803
NP_009225.1	NP_989500.1	131	208	77	0	1650	1857	1541	1748	2.15e-82	293	1863	1749
NP_009225.1	NP_989500.1	302	949	550	36	1	897	1	904	2.16e-68	247	1863	1749
NP_009225.1	NP_989500.1	137	401	201	11	1088	1451	1075	1449	3.04e-32	129	1863	1749
NP_009225.1	XP_026576759.1	132	226	85	1	1641	1857	1331	1556	1.96e-80	286	1863	1563
NP_009225.1	XP_026576759.1	134	468	223	15	1	404	1	421	2.69e-33	132	1863	1563
NP_009225.1	XP_026576759.1	103	312	157	14	1132	1424	1009	1287	4.58e-14	69.7	1863	1563
NP_009225.1	XP_008111382.1	127	208	81	0	1648	1855	1489	1696	1.87e-78	280	1863	1697
NP_009225.1	XP_008111382.1	206	706	370	32	842	1494	825	1453	2.10e-26	110	1863	1697
NP_009225.1	XP_008111382.1	82	298	190	8	375	669	367	641	6.85e-13	65.9	1863	1697
NP_009225.1	NP_001107963.1	111	208	96	1	1648	1854	1384	1591	4.65e-65	236	1863	1592
NP_009225.1	NP_001107963.1	159	531	301	16	6	517	1	479	5.11e-43	164	1863	1592
