XP_014595447.2	4e54ea06434831ad4a6f9f60e4cf59dd	1856	SMART	SM00184	ring_2	24	64	2.4E-7	T	13-08-2026	IPR001841	Zinc finger, RING-type	-	-
XP_014595447.2	4e54ea06434831ad4a6f9f60e4cf59dd	1856	SMART	SM00292	BRCT_7	1755	1842	1.4E-13	T	13-08-2026	IPR001357	BRCT domain	-	-
XP_014595447.2	4e54ea06434831ad4a6f9f60e4cf59dd	1856	SMART	SM00292	BRCT_7	1641	1723	6.2E-7	T	13-08-2026	IPR001357	BRCT domain	-	-
XP_014595447.2	4e54ea06434831ad4a6f9f60e4cf59dd	1856	Pfam	PF00097	Zinc finger, C3HC4 type (RING finger)	24	64	1.6E-6	T	13-08-2026	IPR018957	Zinc finger, C3HC4 RING-type	-	-
XP_014595447.2	4e54ea06434831ad4a6f9f60e4cf59dd	1856	Pfam	PF12820	Serine-rich domain associated with BRCT	345	508	1.1E-74	T	13-08-2026	IPR025994	BRCA1, serine-rich domain	-	-
XP_014595447.2	4e54ea06434831ad4a6f9f60e4cf59dd	1856	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1657	1720	1.2E-6	T	13-08-2026	IPR001357	BRCT domain	-	-
XP_014595447.2	4e54ea06434831ad4a6f9f60e4cf59dd	1856	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1755	1839	1.0E-8	T	13-08-2026	IPR001357	BRCT domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	SMART	SM00184	ring_2	24	64	2.4E-7	T	13-08-2026	IPR001841	Zinc finger, RING-type	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1766	1850	4.5E-8	T	13-08-2026	IPR001357	BRCT domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	Pfam	PF00533	BRCA1 C Terminus (BRCT) domain	1663	1726	3.9E-6	T	13-08-2026	IPR001357	BRCT domain	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	Pfam	PF00097	Zinc finger, C3HC4 type (RING finger)	24	64	1.2E-6	T	13-08-2026	IPR018957	Zinc finger, C3HC4 RING-type	-	-
NP_001013434.1	291f043444e987bba044763e5b7716a3	1878	SMART	SM00292	BRCT_7	1766	1853	5.3E-12	T	13-08-2026	IPR001357	BRCT domain	-	-
